id,llm,bart_score_forward,bart_score_reverse,bart_score_avg
60_1,google/codegemma-7b,-4.389098167419434,-7.331263986998238e-06,-2.1945527493417103
60_1,meta-llama/CodeLlama-7b-hf,-3.791518211364746,-6.185177326202393,-4.988347768783569
60_1,Qwen/CodeQwen1.5-7B,-2.634718179702759,-7.637553691864014,-5.136135935783386
60_1,bigcode/starcoder2-7b,-3.4704935550689697,-5.5178375244140625,-4.494165539741516
60_1,ibm-granite/granite-8b-code-base,-3.7335774898529053,-3.665658823592821e-06,-1.8667905777558644
294_12,google/codegemma-7b,-4.176741123199463,-0.4853874742984772,-2.33106429874897
294_12,meta-llama/CodeLlama-7b-hf,-6.2659149169921875,-5.2928221521142405e-06,-3.13296010490717
294_12,Qwen/CodeQwen1.5-7B,-6.2659149169921875,-5.2928221521142405e-06,-3.13296010490717
294_12,bigcode/starcoder2-7b,-6.26646614074707,-5.340504685591441e-06,-3.133235740625878
294_12,ibm-granite/granite-8b-code-base,-6.26646614074707,-5.2928221521142405e-06,-3.133235716784611
1566_0,google/codegemma-7b,-2.321725606918335,-3.7058932781219482,-3.0138094425201416
1566_0,meta-llama/CodeLlama-7b-hf,-4.465932846069336,-6.713016033172607,-5.589474439620972
1566_0,Qwen/CodeQwen1.5-7B,-2.0041561126708984,-6.655035972595215,-4.329596042633057
1566_0,bigcode/starcoder2-7b,-4.54018497467041,-8.729649543762207,-6.634917259216309
1566_0,ibm-granite/granite-8b-code-base,-4.467093467712402,-8.53187370300293,-6.499483585357666
1946_5,google/codegemma-7b,-0.9969871640205383,-1.1790738105773926,-1.0880304872989655
1946_5,meta-llama/CodeLlama-7b-hf,-0.988590657711029,-0.945931613445282,-0.9672611355781555
1946_5,Qwen/CodeQwen1.5-7B,-0.9641022086143494,-0.9641022086143494,-0.9641022086143494
1946_5,bigcode/starcoder2-7b,-0.9641022086143494,-0.9641022086143494,-0.9641022086143494
1946_5,ibm-granite/granite-8b-code-base,-0.9641022086143494,-0.9641022086143494,-0.9641022086143494
5737_3,google/codegemma-7b,-4.383868217468262,-2.23734712600708,-3.310607671737671
5737_3,meta-llama/CodeLlama-7b-hf,-2.958355665206909,-2.0202367305755615,-2.4892961978912354
5737_3,Qwen/CodeQwen1.5-7B,-3.2530524730682373,-1.8656591176986694,-2.5593557953834534
5737_3,bigcode/starcoder2-7b,-3.143603563308716,-1.6883184909820557,-2.4159610271453857
5737_3,ibm-granite/granite-8b-code-base,-2.853058099746704,-1.7885702848434448,-2.3208141922950745
5838_7,google/codegemma-7b,-3.0904552936553955,-3.1516520977020264,-3.121053695678711
5838_7,meta-llama/CodeLlama-7b-hf,-2.799060583114624,-1.6554441452026367,-2.2272523641586304
5838_7,Qwen/CodeQwen1.5-7B,-1.8779127597808838,-7.331366539001465,-4.604639649391174
5838_7,bigcode/starcoder2-7b,-2.3661863803863525,-1.610909104347229,-1.9885477423667908
5838_7,ibm-granite/granite-8b-code-base,-2.3661863803863525,-1.610909104347229,-1.9885477423667908
6881_7,google/codegemma-7b,-4.143918991088867,-3.1015846729278564,-3.622751832008362
6881_7,meta-llama/CodeLlama-7b-hf,-3.42558217048645,-2.172739267349243,-2.7991607189178467
6881_7,Qwen/CodeQwen1.5-7B,-3.3509163856506348,-3.469473361968994,-3.4101948738098145
6881_7,bigcode/starcoder2-7b,-2.867003917694092,-4.159818649291992,-3.513411283493042
6881_7,ibm-granite/granite-8b-code-base,-3.3303232192993164,-2.970517158508301,-3.1504201889038086
10415_12,google/codegemma-7b,-3.6609578132629395,-2.4286484718322754,-3.0448031425476074
10415_12,meta-llama/CodeLlama-7b-hf,-3.3484907150268555,-2.4319984912872314,-2.8902446031570435
10415_12,Qwen/CodeQwen1.5-7B,-3.296924591064453,-2.5529463291168213,-2.924935460090637
10415_12,bigcode/starcoder2-7b,-3.296924591064453,-2.5529463291168213,-2.924935460090637
10415_12,ibm-granite/granite-8b-code-base,-3.296924591064453,-2.5529463291168213,-2.924935460090637
10518_0,google/codegemma-7b,-8.285762786865234,-10.489479064941406,-9.38762092590332
10518_0,meta-llama/CodeLlama-7b-hf,-10.218111038208008,-9.030473709106445,-9.624292373657227
10518_0,Qwen/CodeQwen1.5-7B,-7.0865912437438965,-11.393957138061523,-9.24027419090271
10518_0,bigcode/starcoder2-7b,-5.994174480438232,-9.824789047241211,-7.909481763839722
10518_0,ibm-granite/granite-8b-code-base,-5.9925923347473145,-6.003297328948975,-5.9979448318481445
11161_0,google/codegemma-7b,-4.566128253936768,-2.4441099166870117,-3.5051190853118896
11161_0,meta-llama/CodeLlama-7b-hf,-5.492465972900391,-3.3094482421875,-4.400957107543945
11161_0,Qwen/CodeQwen1.5-7B,-4.693691253662109,-8.359053611755371,-6.52637243270874
11161_0,bigcode/starcoder2-7b,-3.8140039443969727,-3.686347246170044,-3.7501755952835083
11161_0,ibm-granite/granite-8b-code-base,-3.4790587425231934,-3.471848726272583,-3.475453734397888
12566_1,google/codegemma-7b,-3.421156644821167,-2.726839065551758,-3.0739978551864624
12566_1,meta-llama/CodeLlama-7b-hf,-1.4257233142852783,-1.3167401552200317,-1.371231734752655
12566_1,Qwen/CodeQwen1.5-7B,-2.7724356651306152,-2.9562771320343018,-2.8643563985824585
12566_1,bigcode/starcoder2-7b,-2.6598384380340576,-3.638155221939087,-3.1489968299865723
12566_1,ibm-granite/granite-8b-code-base,-2.862459182739258,-2.6920385360717773,-2.7772488594055176
13150_9,google/codegemma-7b,-3.8150553703308105,-4.193741798400879,-4.004398584365845
13150_9,meta-llama/CodeLlama-7b-hf,-2.4617300033569336,-2.447495222091675,-2.454612612724304
13150_9,Qwen/CodeQwen1.5-7B,-2.459698438644409,-2.459698438644409,-2.459698438644409
13150_9,bigcode/starcoder2-7b,-2.459698438644409,-2.459698438644409,-2.459698438644409
13150_9,ibm-granite/granite-8b-code-base,-2.459698438644409,-2.459698438644409,-2.459698438644409
14639_1,google/codegemma-7b,-5.501333713531494,-4.259261131286621,-4.880297422409058
14639_1,meta-llama/CodeLlama-7b-hf,-3.3423244953155518,-2.3418726921081543,-2.842098593711853
14639_1,Qwen/CodeQwen1.5-7B,-6.603709697723389,-3.6857941150665283,-5.1447519063949585
14639_1,bigcode/starcoder2-7b,-5.529424667358398,-3.007878065109253,-4.268651366233826
14639_1,ibm-granite/granite-8b-code-base,-6.60371208190918,-3.685795307159424,-5.144753694534302
16462_0,google/codegemma-7b,-5.7908806800842285,-5.351123809814453,-5.571002244949341
16462_0,meta-llama/CodeLlama-7b-hf,-7.33112907409668,-5.543859481811523,-6.437494277954102
16462_0,Qwen/CodeQwen1.5-7B,-8.132226943969727,-4.904605388641357,-6.518416166305542
16462_0,bigcode/starcoder2-7b,-6.575080394744873,-5.970932960510254,-6.2730066776275635
16462_0,ibm-granite/granite-8b-code-base,-4.853737831115723,-6.780918121337891,-5.817327976226807
16477_5,google/codegemma-7b,-5.219753742218018,-1.1781446933746338,-3.1989492177963257
16477_5,meta-llama/CodeLlama-7b-hf,-3.76129412651062,-4.480845928192139,-4.121070027351379
16477_5,Qwen/CodeQwen1.5-7B,-3.3695881366729736,-1.7077263593673706,-2.538657248020172
16477_5,bigcode/starcoder2-7b,-3.4998342990875244,-1.4543110410158988e-05,-1.7499244210989673
16477_5,ibm-granite/granite-8b-code-base,-3.4998342990875244,-1.4543110410158988e-05,-1.7499244210989673
16947_10,google/codegemma-7b,-2.9692559242248535,-0.7985855937004089,-1.8839207589626312
16947_10,meta-llama/CodeLlama-7b-hf,-2.7656006813049316,-2.1991307735443115,-2.4823657274246216
16947_10,Qwen/CodeQwen1.5-7B,-1.6692167520523071,-11.083271026611328,-6.376243889331818
16947_10,bigcode/starcoder2-7b,-1.9350394010543823,-3.3094069957733154,-2.622223198413849
16947_10,ibm-granite/granite-8b-code-base,-2.468395948410034,-2.199429512023926,-2.33391273021698
18261_5,google/codegemma-7b,-3.0912065505981445,-4.291497589292703e-06,-1.545605421047867
18261_5,meta-llama/CodeLlama-7b-hf,-2.9421582221984863,-8.118291854858398,-5.530225038528442
18261_5,Qwen/CodeQwen1.5-7B,-4.933121681213379,-4.61931722384179e-06,-2.4665631502653014
18261_5,bigcode/starcoder2-7b,-3.293456554412842,-8.196829795837402,-5.745143175125122
18261_5,ibm-granite/granite-8b-code-base,-3.785672187805176,-5.6975555419921875,-4.741613864898682
19027_11,google/codegemma-7b,-2.657987594604492,-2.5216104984283447,-2.5897990465164185
19027_11,meta-llama/CodeLlama-7b-hf,-2.8511459827423096,-2.6493825912475586,-2.750264286994934
19027_11,Qwen/CodeQwen1.5-7B,-2.546370029449463,-2.5121941566467285,-2.5292820930480957
19027_11,bigcode/starcoder2-7b,-2.4949135780334473,-3.1351358890533447,-2.815024733543396
19027_11,ibm-granite/granite-8b-code-base,-2.3589582443237305,-2.7300360202789307,-2.5444971323013306
20117_71,google/codegemma-7b,-5.295786380767822,-2.879290819168091,-4.0875385999679565
20117_71,meta-llama/CodeLlama-7b-hf,-3.0830047130584717,-5.787953853607178,-4.435479283332825
20117_71,Qwen/CodeQwen1.5-7B,-3.9771888256073,-9.881863594055176,-6.929526209831238
20117_71,bigcode/starcoder2-7b,-2.240952968597412,-2.254232883453369,-2.2475929260253906
20117_71,ibm-granite/granite-8b-code-base,-2.6669750213623047,-9.503387451171875,-6.08518123626709
20619_9,google/codegemma-7b,-2.581826686859131,-2.1293983459472656,-2.3556125164031982
